Model,Accuracy,Precision,Recall,F1-Score
LSTM,0.8026018142700195,0.804514145909806,0.8026018099547512,0.8030506805160782
GRU,0.31843891739845276,0.27498039898945903,0.3184389140271493,0.15480953233365277
