Model,Accuracy_BoW,Accuracy_TFIDF,Accuracy_Word2Vec
Random Forest,0.75,0.7562217194570136,0.5067873303167421
Naive Bayes,0.6408371040723982,0.6792986425339367,0.4423076923076923
SVC,0.8031674208144797,0.7703619909502263,0.5169683257918553
Logistic Regression,0.8557692307692307,0.8506787330316742,0.5101809954751131
Decision Tree,0.6091628959276018,0.5899321266968326,0.4434389140271493
